feature,feature_ru,mean_absolute_shap
course_sin,Курс: sin,0.01146839823741643
course_cos,Курс: cos,0.004980463482598541
sog,Скорость SOG,0.0014561520974354343
longitude,Долгота,0.00030068714516622236
latitude,Широта,0.00021563977835506524
distance_from_previous_km,Расстояние от прошлой точки,0.00017144985211750915
calculated_speed_kmh,Расчётная скорость,0.00017041653175203013
hour_sin,Час: sin,0.00016796772564556633
course_change,Изменение курса,0.00014434840133905832
day_of_week,День недели,0.0001278079874594889
hour_cos,Час: cos,8.885337948592807e-05
speed_change,Изменение скорости,6.548038927110437e-05
time_delta_seconds,Интервал времени,0.0
